Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
3;1000003;Поступление зарплаты на счет;Ремонт;0;0.5;мужской;0;0;высшее;специалист;>250;1;86;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1000023;2НДФЛ;Ремонт;0;0.54;женский;0;0;высшее;специалист;>250;0;18;33;Другое;ЗАО;холост / не замужем;1;0;0;0;0;0.0721649485;1;0;0;0;0.4;2;3;90;5;1;2;9;94;1;1;0;0;0;0;0
3;1000043;Свободная форма с печатью работодателя;Ремонт;1;0.57;мужской;2;0;высшее;менеджер среднего звена;< 50;0;71;42;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;13;1;0;1;18;18;0;0;0;0;0;0;0
3;1000063;Форма банка (без печати работодателя);Покупка автомобиля;0;0.56;женский;2;0;высшее;специалист;>250;0;8;33;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1000083;Поступление зарплаты на счет;Ремонт;1;0.35;мужской;1;0;среднее;рабочий;>250;0;60;32;Торговля;ЗАО;женат / замужем;1;1;1;0;0;0.0833333333;0;0;0;0;0.3333333333;1;2;33;3;0;1;24;106;1;0;0;0;0;0;0
3;1000103;Форма банка (без печати работодателя);Ремонт;1;0.42;женский;1;0;*n.a.*;менеджер по продажам;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1000123;Поступление зарплаты на счет;Покупка автомобиля;1;0.2;мужской;0;0;высшее;менеджер среднего звена;>250;0;47;39;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1000143;Форма банка (без печати работодателя);Ремонт;0;0.28;женский;0;0;высшее;специалист;>250;0;70;28;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;63;3;0;1;24;36;0;0;0;0;0;0;0
3;1000163;Поступление зарплаты на счет;Ремонт;1;0.07;мужской;0;0;второе высшее;специалист;>250;0;19;27;Другое;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;3;47;3;0;0;35;74;0;0;0;0;0;0;0
3;1000183;Поступление зарплаты на счет;Ремонт;1;0.44;женский;2;0;среднее;менеджер среднего звена;>250;1;92;42;Торговля;ООО;женат / замужем;1;1;1;0;0;0;0;0;0;0;0.4;4;6;114;10;1;0;6;109;0;0;0;0;0;0;0
3;1000203;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.31;мужской;1;0;незаконченное высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1000223;Форма банка (без печати работодателя);Обучение;1;0.49;женский;1;0;высшее;менеджер среднего звена;>250;0;183;51;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
